District,County,District_type,Enrollment,FRL_Perc,Disadv_Perc,EL_Perc,Grad_Perc,Teach_to_stud,Susp_Perc,Chronic_absent,Math_metAbove,ELA_metAbove,Per_pupil_exp,Teacher_salary,Avg Years Teaching (District)
Calaveras County Office of Education (Calaveras),Calaveras,County Office of Education (COE),498,53.8,53.82,1.4,84.5,13.9,3.4,10.6,18.62,40.89,14708,65303,7
Lakeside Union Elementary (Kings),Kings,Elementary School District,323,95.1,95.98,37.2,N/A,19,2,8.1,19.05,27.62,11917,59720,7
Esparto Unified (Yolo),Yolo,Unified School District,941,82.5,83.21,27.8,94.1,21.3,5.2,13.8,19.61,31.9,14150,72172,7
Pixley Union Elementary (Tulare),Tulare,Elementary School District,1019,95.2,96.17,51.8,N/A,18.5,3.7,8.9,19.91,28.98,15091,71888,7
Plainsburg Union Elementary (Merced),Merced,Elementary School District,110,47.3,48.18,7.3,N/A,19,0,4.4,20,43.08,10685,49256,7
Willits Unified (Mendocino),Mendocino,Unified School District,1847,72.1,73.9,12.6,83.5,16.9,5.9,23.9,20.2,26.79,14385,58289,7
Pioneer Union Elementary (El Dorado),El Dorado,Elementary School District,287,61,62.37,4.5,N/A,18.1,5.4,17.6,22.5,20,10340,56816,7
Cinnabar Elementary (Sonoma),Sonoma,Elementary School District,267,39.9,77.13,46.8,N/A,18,0.4,7.4,24.16,50.86,14390,64015,7
Armona Union Elementary (Kings),Kings,Elementary School District,1510,85,85.76,21.8,N/A,22.8,2.5,14.1,24.74,33.2,12588,73553,7
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,15949,90,90.73,19.1,93.1,21.2,1.8,10.7,29.25,43.78,13847,93976,7
Rockford Elementary (Tulare),Tulare,Elementary School District,339,56.9,57.23,10.9,N/A,19.3,1.4,2.6,30.04,42.92,10953,70679,7
Burton Elementary (Tulare),Tulare,Elementary School District,4887,72.2,75.75,21,N/A,21.4,1.4,2.5,30.68,41.97,11890,74946,7
Valley Home Joint Elementary (Stanislaus),Stanislaus,Elementary School District,166,47,50.6,20.5,N/A,19.5,0.6,5.7,30.93,29.9,10955,53920,7
Washington Colony Elementary (Fresno),Fresno,Elementary School District,463,87.2,90.04,34.3,N/A,19.3,0.6,10.1,34.64,37.99,10983,76081,7
Julian Union Elementary (San Diego),San Diego,Elementary School District,1844,49.2,50.11,9.4,N/A,12.8,0.5,26.2,35.35,39.39,17985,76081,7
Maxwell Unified (Colusa),Colusa,Unified School District,340,65.3,72.35,34.4,93.5,18.2,4.4,10.1,36.46,38.55,13015,66426,7
Monte Rio Union Elementary (Sonoma),Sonoma,Elementary School District,84,66.7,67.86,4.8,N/A,14.7,2.3,15.9,36.73,55.1,20222,76081,7
Geyserville Unified (Sonoma),Sonoma,Unified School District,232,64.7,68.1,21.6,93.8,12.1,4.1,14.3,37.4,46.28,19081,60871,7
Alvina Elementary (Fresno),Fresno,Elementary School District,203,75.9,77.34,27.6,N/A,16.9,0.5,6.8,40.15,47.73,11765,45944,7
Waukena Joint Union Elementary (Tulare),Tulare,Elementary School District,207,90.8,91.3,60.4,N/A,20.7,1.4,10.5,40.71,39.57,12056,59670,7
Two Rock Union (Sonoma),Sonoma,Elementary School District,166,48.1,52.6,29.5,N/A,17.1,1.1,7,42.67,54.05,14376,57580,7
Surprise Valley Joint Unified (Modoc),Modoc,Unified School District,116,62.1,62.07,6,84.5,13.3,0.8,3.4,44.12,57.35,16280,47689,7
Alpine County Unified (Alpine),Alpine,Unified School District,79,73.4,73.42,N/A,N/A,7.2,14.1,20.7,44.23,51.92,43009,61368,7
Trinidad Union Elementary (Humboldt),Humboldt,Elementary School District,203,57.6,57.64,0.5,N/A,17.8,2.3,10.4,44.54,57.98,10772,76081,7
Sebastopol Union Elementary (Sonoma),Sonoma,Elementary School District,900,44.7,46.26,7.8,N/A,19.3,3.5,9.9,45.36,59.11,15692,68670,7
Santa Cruz County Office of Education (Santa Cruz),Santa Cruz,County Office of Education (COE),1468,25,35.15,14.3,57.6,19.4,0.7,16.2,47.41,63.11,14708,73561,7
Marcum-Illinois Union Elementary (Sutter),Sutter,Elementary School District,2204,38.8,39.58,4.9,N/A,21.4,0.1,5,51.52,56.57,14407,49875,7
Plumas Lake Elementary (Yuba),Yuba,Elementary School District,1323,36.6,38.73,5.9,N/A,19.1,5.3,5.1,51.97,58.6,10016,63423,7
Bonny Doon Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,165,17.6,19.39,1.8,N/A,16.7,0,11.4,53.93,62.92,13878,66690,7
Bonsall Unified (San Diego),San Diego,Unified School District,2518,33.7,37.01,13.2,78.1,21.2,2.3,7.1,56.12,63.09,9645,69598,7
Round Valley Joint Elementary (Inyo),Inyo,Elementary School District,137,42.3,44.53,3.6,N/A,16.1,1.5,14.6,58.75,61.25,12121,61448,7
Wiseburn Unified (Los Angeles),Los Angeles,Unified School District,4503,37.9,40.88,7.8,84.5,21.8,1.3,6.5,60.06,73.89,11505,86889,7
Alexander Valley Union Elementary (Sonoma),Sonoma,Elementary School District,110,22.7,26.36,16.4,N/A,11.2,0,1.8,66.07,71.43,21318,76081,7
Loomis Union Elementary (Placer),Placer,Elementary School District,4371,21.9,23.69,4.4,N/A,21.7,2.1,6.9,67.06,73.22,9761,74004,7
Ross Elementary (Marin),Marin,Elementary School District,394,2,2.03,N/A,N/A,13,0.5,4.2,80.65,85.05,21863,87215,7
Alameda County Office of Education (Alameda),Alameda,County Office of Education (COE),3428,59.2,65.63,28.1,31.2,16.6,4.1,18.7,0,4.76,14708,114268,6
Yuba County Office of Education (Yuba),Yuba,County Office of Education (COE),626,66.2,70.99,7.8,8.9,10.4,8,32.2,0.86,16.1,14708,60126,6
Santa Clara County Office of Education (Santa Clara),Santa Clara,County Office of Education (COE),11717,55.1,61.98,32,20.9,19,2.3,16.7,1.19,8.33,14708,95977,6
Riverside County Office of Education (Riverside),Riverside,County Office of Education (COE),10868,57.6,59.69,11.1,28,17.2,2.6,15.7,1.35,10.47,14708,76081,6
Loleta Union Elementary (Humboldt),Humboldt,Elementary School District,123,93.4,94.26,20.3,N/A,17.6,23.7,26.1,1.49,7.69,16745,76081,6
Sacramento County Office of Education (Sacramento),Sacramento,County Office of Education (COE),2121,73.2,77.15,9.8,31.3,14.1,11.5,37,2,10.2,14708,82990,6
Stanislaus County Office of Education (Stanislaus),Stanislaus,County Office of Education (COE),2603,56.8,62.88,16.1,23.3,14.9,2.9,28.6,2.43,9.79,14708,79529,6
Semitropic Elementary (Kern),Kern,Elementary School District,214,74.8,95.79,65.9,N/A,17.8,0,12.6,5.59,18.18,11389,76081,6
Mountain House Elementary (Alameda),Alameda,Elementary School District,17,64.7,64.71,35.3,N/A,17,0,33.3,8.33,25,32500,76081,6
West Park Elementary (Fresno),Fresno,Elementary School District,684,89.2,91.52,31.7,N/A,18.7,3.6,11.2,11.72,28.74,13078,76081,6
Sunnyside Union Elementary (Tulare),Tulare,Elementary School District,368,82.5,90.25,46.7,N/A,21.1,3,7.1,14.53,26.29,12465,66655,6
Fort Sage Unified (Lassen),Lassen,Unified School District,271,54.5,54.48,0.7,76.9,18.4,8,21.8,14.84,36.51,18632,76081,6
Banta Elementary (San Joaquin),San Joaquin,Elementary School District,872,49.9,61.72,33.6,N/A,21.3,2.4,9.4,18.27,26.92,15187,71229,6
Big Pine Unified (Inyo),Inyo,Unified School District,136,78.7,79.41,3.7,84.5,7.6,0,13.9,21.21,27.27,28506,64713,6
Lucerne Valley Unified (San Bernardino),San Bernardino,Unified School District,5416,54.5,55.43,6.3,85.7,20,1.1,25.7,21.98,33.17,16192,76081,6
Emery Unified (Alameda),Alameda,Unified School District,743,80.2,83.06,21.5,100,16.5,3.6,20.5,23.34,37.07,18339,76081,6
Weed Union Elementary (Siskiyou),Siskiyou,Elementary School District,252,83.7,84.52,14.7,N/A,14,6.7,21,24.22,31.06,14257,55374,6
Mountain Empire Unified (San Diego),San Diego,Unified School District,3288,54.2,59.56,17.2,87.3,13.7,1.3,15,24.42,37.4,14333,61040,6
Chawanakee Unified (Madera),Madera,Unified School District,1326,50.9,51.13,1,97.4,21.6,5.5,9.1,26.17,43.6,13018,55441,6
Reeds Creek Elementary (Tehama),Tehama,Elementary School District,172,59.9,60.47,2.3,N/A,26.5,2.5,15.1,27.03,37.84,9023,55176,6
Merced River Union Elementary (Merced),Merced,Elementary School District,177,78.7,81.61,39.5,N/A,21.9,0,12.9,28.95,43.86,10856,56568,6
Pond Union Elementary (Kern),Kern,Elementary School District,199,94.5,94.97,35.2,N/A,19.9,0,9.1,29.37,40.32,14936,76081,6
South Bay Union (San Diego),San Diego,Elementary School District,7199,73.7,83.97,49.9,N/A,21.9,0.7,12.6,30.09,35.6,14682,86738,6
Summerville Union High (Tuolumne),Tuolumne,High School District,1114,36,36.12,0.1,91.2,14,5.5,0,30.88,67.07,17977,76081,6
Nevada County Office of Education (Nevada),Nevada,County Office of Education (COE),3066,64.3,66.55,15.1,72.2,18.1,0.5,40.7,30.93,50.66,14708,62638,6
Middletown Unified (Lake),Lake,Unified School District,1747,51.9,53.35,5.5,96.2,22.4,1.6,17.4,33.38,49.6,11240,58872,6
Westwood Unified (Lassen),Lassen,Unified School District,180,64.4,64.44,1.1,84.5,17.1,6.9,26.5,34.41,35.87,15763,57353,6
Ferndale Unified (Humboldt),Humboldt,Unified School District,475,53.3,53.47,6.7,100,15.3,2,8.1,34.78,38.74,14632,59168,6
San Miguel Joint Union (San Luis Obispo),San Luis Obispo,Elementary School District,899,58.9,63.64,27.5,N/A,20.3,5.3,12.2,36.51,39.66,11195,65974,6
Fort Ross Elementary (Sonoma),Sonoma,Elementary School District,21,85.7,85.71,23.8,N/A,10.5,17.9,65.4,37.2,48.3,43646,76081,6
Ravendale-Termo Elementary (Lassen),Lassen,Elementary School District,381,61.3,61.84,2.1,N/A,19.1,0.4,7.7,37.2,48.3,41349,52196,6
Siskiyou County Office of Education (Siskiyou),Siskiyou,County Office of Education (COE),745,72.1,72.21,0.7,0,11.5,0.4,14.1,37.2,48.3,14708,64329,6
Placer County Office of Education (Placer),Placer,County Office of Education (COE),969,34.7,36.52,3.2,56.8,15.1,2.1,14.5,38,42.42,14708,79312,6
Forestville Union Elementary (Sonoma),Sonoma,Elementary School District,237,49.4,53.62,19.4,N/A,14.8,0.8,12,38.46,38.46,18823,60971,6
Chualar Union (Monterey),Monterey,Elementary School District,309,87.4,95.15,70.6,N/A,17.6,6.4,9.2,42.5,51.27,13619,56619,6
Liberty Elementary (Tulare),Tulare,Elementary School District,665,53.1,55.19,11.1,N/A,24.6,0.4,2.6,43.54,50.98,12738,62251,6
Hydesville Elementary (Humboldt),Humboldt,Elementary School District,188,31.9,32.45,2.7,N/A,20.9,2,7,45.9,50.82,10315,76081,6
Newcastle Elementary (Placer),Placer,Elementary School District,2112,13.9,17.99,5.3,N/A,21.4,1.9,3.2,49.17,62.05,18755,69985,6
Ripon Unified (San Joaquin),San Joaquin,Unified School District,4628,37.4,39.36,9.3,97,23.4,2.6,15.6,51.28,66.18,10313,72732,6
Richmond Elementary (Lassen),Lassen,Elementary School District,226,12.8,12.83,N/A,N/A,25.1,0.4,2.6,51.33,67.33,9322,60798,6
Clear Creek Elementary (Nevada),Nevada,Elementary School District,157,36.9,36.94,0.6,N/A,18.9,1.7,9.9,54.31,60,10209,64531,6
Mountain Elementary (Santa Cruz),Santa Cruz,Elementary School District,143,12.6,15.38,3.5,N/A,19.1,1.3,4,62.67,64,12456,76081,6
Millville Elementary (Shasta),Shasta,Elementary School District,266,36.1,36.09,N/A,N/A,21.5,0.3,6.3,68.42,74.42,10230,59869,6
Wilmar Union Elementary (Sonoma),Sonoma,Elementary School District,243,28.8,31.69,9.5,N/A,20.4,0,5.2,76.85,78.7,10625,67385,6
Happy Valley Elementary (Santa Cruz),Santa Cruz,Elementary School District,108,8.3,12.04,4.6,N/A,16.4,0,4.4,79.03,85.48,13303,65880,6
Liberty Elementary (Sonoma),Sonoma,Elementary School District,834,47.4,48.44,4.7,N/A,25.8,0.1,28.5,83.48,80,8168,77395,6
Sunol Glen Unified (Alameda),Alameda,Unified School District,297,8.1,13.8,6.1,N/A,21.1,2,3.7,89.06,83.85,12908,76081,6
Cold Spring Elementary (Santa Barbara),Santa Barbara,Elementary School District,169,6.5,8.88,2.4,N/A,13.1,0,4.6,90.53,91.58,22802,93988,6
Yolo County Office of Education (Yolo),Yolo,County Office of Education (COE),663,65.7,80.94,52.3,18.4,14.9,9.3,38.1,9.52,9.3,14708,63004,5
Round Valley Unified (Mendocino),Mendocino,Unified School District,461,97,97.17,18.7,75,15,6.5,27.2,11.48,24.88,20891,58578,5
Horicon Elementary (Sonoma),Sonoma,Elementary School District,69,85.3,85.29,37.7,N/A,13.3,1.4,36.5,15,17.07,29983,61639,5
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,134,91,93.28,47,85.7,12.5,0,6.9,15.07,20.55,21883,76081,5
Laton Joint Unified (Fresno),Fresno,Unified School District,677,84.3,87.74,40.2,88.9,14.4,4.3,6.1,16.17,27.93,15300,56510,5
Indian Diggings Elementary (El Dorado),El Dorado,Elementary School District,18,33.3,33.33,N/A,N/A,0,4.5,0,16.67,16.67,16000,76081,5
Orange Center (Fresno),Fresno,Elementary School District,1060,74.4,75.33,16.2,N/A,10,1.6,24.1,20.48,34.12,13838,76081,5
Kit Carson Union Elementary (Kings),Kings,Elementary School District,1248,83.9,84.7,18.5,N/A,20.8,0.6,29.5,21.27,35.82,11872,80405,5
Manchester Union Elementary (Mendocino),Mendocino,Elementary School District,36,58.3,69.44,38.9,N/A,8,0,31.1,22.22,37.04,23404,76081,5
San Antonio Union Elementary (Monterey),Monterey,Elementary School District,120,50,53.33,19.2,N/A,13.3,2.8,12.5,22.78,46.84,16608,76081,5
Shandon Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,297,78.5,85.67,42.1,88.9,14.6,2.7,8.3,25.32,32.03,15797,59886,5
Mount Pleasant Elementary (Santa Clara),Santa Clara,Elementary School District,2229,72.8,80.72,46.3,N/A,20.7,4.7,0,26.4,37.65,14484,78236,5
Delphic Elementary (Siskiyou),Siskiyou,Elementary School District,60,76.3,76.27,N/A,N/A,20,1.5,6.3,27.03,37.84,10865,50823,5
SBE - Ridgecrest Charter (Kern),Kern,State Board of Education Charter,477,48,49.48,5.5,N/A,17.3,2.3,14.9,27.36,32.32,14708,76081,5
Southern Humboldt Joint Unified (Humboldt),Humboldt,Unified School District,760,53.9,54.68,6.2,88.2,19.4,10.1,28.8,28.23,40.94,13687,53656,5
Blue Lake Union Elementary (Humboldt),Humboldt,Elementary School District,158,63.3,63.29,5.1,N/A,13.2,0,8.8,31,41,13849,76081,5
South Bay Union Elementary (Humboldt),Humboldt,Elementary School District,949,70.4,70.88,6.2,N/A,17.4,1,6.8,31.12,44.41,12666,56393,5
Linns Valley-Poso Flat Union (Kern),Kern,Elementary School District,19,57.9,57.89,N/A,N/A,6.3,0,10,33.33,33.33,30992,76081,5
Blochman Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,1283,37.7,38.5,3.3,N/A,16.2,0.1,2.4,35.94,53.13,11316,58553,5
Inyo County Office of Education (Inyo),Inyo,County Office of Education (COE),1831,92.3,93.72,22.7,84.5,25.7,0.3,79,37.2,48.3,14708,76081,5
Mono County Office of Education (Mono),Mono,County Office of Education (COE),300,96.3,96.67,67,84.5,17.3,1.2,57,37.2,48.3,14708,76081,5
Panoche Elementary (San Benito),San Benito,Elementary School District,3,0,0,N/A,N/A,3,redacted,redacted,37.2,48.3,41974,76081,5
Seiad Elementary (Siskiyou),Siskiyou,Elementary School District,18,72.2,77.78,5.6,N/A,18,0,50,37.2,48.3,29498,76081,5
Mulberry Elementary (Imperial),Imperial,Elementary School District,73,49.3,58.9,21.9,N/A,18.3,0,1.3,47.06,62.75,12071,76081,5
Hope Elementary (Tulare),Tulare,Elementary School District,241,75.1,80.5,34,N/A,21.9,1.1,8.2,47.26,31.97,12125,57114,5
Mt. Baldy Joint Elementary (San Bernardino),San Bernardino,Elementary School District,94,29.8,31.91,4.3,N/A,18.8,0,13.7,51.61,67.74,13779,56948,5
Nicasio (Marin),Marin,Elementary School District,39,10.3,38.46,33.3,N/A,13,0,14.6,56.52,69.57,25420,76081,5
Pacific Elementary (Santa Cruz),Santa Cruz,Elementary School District,117,44.4,47.86,15.4,N/A,22.1,0.8,16.8,57.63,60.34,11788,76081,5
Pleasant Valley Joint Union Elementary (San Luis Obispo),San Luis Obispo,Elementary School District,54,38.9,44.44,22.2,N/A,13.5,0,10.5,73.91,86.96,20489,60912,5
Humboldt County Office of Education (Humboldt),Humboldt,County Office of Education (COE),892,62.9,63.24,2.1,52.9,13.6,4,27.7,0,6.35,14708,59564,4
Contra Costa County Office of Education (Contra Costa),Contra Costa,County Office of Education (COE),5528,47.7,50.67,11.9,35.1,19.6,4.7,11.8,1.32,5.63,14708,84448,4
Stone Corral Elementary (Tulare),Tulare,Elementary School District,581,88,90.71,24.6,N/A,21.5,0,36.7,2.38,9.52,12801,52273,4
SBE - Barack Obama Charter (Los Angeles),Los Angeles,State Board of Education Charter,433,87.8,88.52,16.6,N/A,23.4,0.4,34.7,14.5,22.5,14708,76081,4
Allensworth Elementary (Tulare),Tulare,Elementary School District,88,96.6,97.7,65.9,N/A,17.6,2,4.4,16,18,11073,44189,4
New Jerusalem Elementary (San Joaquin),San Joaquin,Elementary School District,4831,56.7,58.11,8.6,N/A,24.9,1.5,21.4,16.83,27.56,126344,63979,4
Death Valley Unified (Inyo),Inyo,Unified School District,28,92.9,96.43,10.7,84.5,5.1,0,30,18.18,45.45,51756,60636,4
Warner Unified (San Diego),San Diego,Unified School District,1424,40.6,41.73,4.2,85.7,14.4,0.5,6.9,18.63,31.68,22628,76081,4
East Nicolaus Joint Union High (Sutter),Sutter,High School District,301,35.9,36.21,1.7,98.7,18.8,3.8,8.7,20.25,56.96,11858,65049,4
Sausalito Marin City (Marin),Marin,Elementary School District,528,49.6,56.44,20.3,N/A,18.5,4.2,21.1,20.75,20.75,52344,85458,4
Bayshore Elementary (San Mateo),San Mateo,Elementary School District,379,58.6,65.17,22.2,N/A,16.1,4.8,12.4,27.13,27.31,15756,76081,4
Sequoia Union Elementary (Tulare),Tulare,Elementary School District,358,44.7,45.25,5.6,N/A,17.9,N/A,N/A,31.25,49.33,10014,64672,4
Mountain Union Elementary (Shasta),Shasta,Elementary School District,73,94.5,94.52,1.4,N/A,16.6,10.1,29.9,31.37,27.45,18457,76081,4
Outside Creek Elementary (Tulare),Tulare,Elementary School District,103,98,98.04,26.2,N/A,21,1.8,4.6,31.82,35.38,10139,53346,4
SBE - Anahuacalmecac International University Preparatory of North America (Los Angeles),Los Angeles,State Board of Education Charter,312,84.3,84.29,8.7,N/A,18,0,18.7,32.53,40.72,14708,76081,4
Castle Rock Union Elementary (Shasta),Shasta,Elementary School District,64,85.9,85.94,1.6,N/A,16,0,12.2,33.33,32.5,14159,76081,4
Helendale Elementary (San Bernardino),San Bernardino,Elementary School District,5062,43.9,44.57,3.8,N/A,22.2,1.4,10.5,36.46,46.32,11790,77016,4
Whitmore Union Elementary (Shasta),Shasta,Elementary School District,954,54.5,55.01,0.8,N/A,19.2,0,3.8,37.2,48.3,28483,76081,4
Johnstonville Elementary (Lassen),Lassen,Elementary School District,189,47.6,48.68,1.6,N/A,18.3,0.5,13.8,37.4,53.28,10164,56788,4
SBE - New West Charter (Los Angeles),Los Angeles,State Board of Education Charter,887,35,35.85,3.3,N/A,21.1,1.1,6.7,56.59,77.11,14708,76081,4
Lammersville Joint Unified (San Joaquin),San Joaquin,Unified School District,5348,17,23.56,8.7,97,21.2,2.2,8.8,66.24,70.18,10136,69595,4
Spencer Valley Elementary (San Diego),San Diego,Elementary School District,2412,55.6,56.72,4.2,N/A,28.4,0,28.3,89.47,73.68,65932,76081,4
Tuolumne County Superintendent of Schools (Tuolumne),Tuolumne,County Office of Education (COE),205,56.9,56.86,N/A,35.3,9.6,8.8,27.6,0,3.7,14708,76081,3
Ducor Union Elementary (Tulare),Tulare,Elementary School District,168,75.6,88.69,58.9,N/A,15.3,1,16,3.6,14.55,12894,52168,3
San Ardo Union Elementary (Monterey),Monterey,Elementary School District,110,90.9,92.73,73.6,N/A,18.3,9.7,14.9,7.69,19.35,15215,76081,3
Oak Run Elementary (Shasta),Shasta,Elementary School District,68,66.2,66.18,N/A,N/A,15.8,0,14.9,8.33,38.89,14458,42132,3
Kneeland Elementary (Humboldt),Humboldt,Elementary School District,13,23.1,23.08,N/A,N/A,7.2,0,0,9.09,45.45,28870,76081,3
Maricopa Unified (Kern),Kern,Unified School District,7754,44.3,44.71,2.3,95.2,26.9,0.4,6.4,9.66,22.76,20295,76081,3
San Lucas Union Elementary (Monterey),Monterey,Elementary School District,73,89,89.04,32.9,N/A,18.3,2.2,12.6,10.87,30.43,14372,44733,3
Alpaugh Unified (Tulare),Tulare,Unified School District,817,72.7,73.68,22.8,87.5,24.8,1.6,29.9,11.86,27.27,14208,59898,3
Point Arena Joint Union High (Mendocino),Mendocino,High School District,133,63.2,67.67,15,75,13.4,17.2,37.3,13.89,30.56,14708,76081,3
SBE - Audeo Charter II (San Diego),San Diego,State Board of Education Charter,228,54.8,55.7,7.5,N/A,27.8,0,36.1,16.18,57.97,14708,76081,3
"Igo, Ono, Platina Union Elementary (Shasta)",Shasta,Elementary School District,43,81.4,81.4,N/A,N/A,21.5,1.8,10.4,16.67,20,17969,56998,3
SBE - The School of Arts and Enterprise (Los Angeles),Los Angeles,State Board of Education Charter,732,71.5,73.63,8.7,N/A,14.6,5.4,13.2,16.91,45.12,14708,76081,3
SBE - Academia Avance Charter (Los Angeles),Los Angeles,State Board of Education Charter,391,95.1,95.65,14.8,N/A,18.4,2.1,14.5,17.46,30.69,14708,76081,3
Upper Lake Unified (Lake),Lake,Unified School District,855,74.5,75.09,5,73.9,19.4,6,24.7,19.66,30.34,13532,61487,3
Borrego Springs Unified (San Diego),San Diego,Unified School District,2582,75.6,77.69,20.4,86.1,21.8,0.6,48.7,19.9,37.24,17652,65678,3
Elk Hills Elementary (Kern),Kern,Elementary School District,187,78.1,78.07,2.7,N/A,20.8,3.3,13.8,20.9,30.37,10082,76081,3
Oro Grande (San Bernardino),San Bernardino,Elementary School District,4332,78.1,78.76,9.7,N/A,19,1.9,9.4,21.94,37.44,59965,68259,3
Meridian Elementary (Sutter),Sutter,Elementary School District,1280,59.2,59.95,4,N/A,11.6,0.1,36.3,22.58,38.71,20959,76081,3
Potter Valley Community Unified (Mendocino),Mendocino,Unified School District,264,64,64.39,16.7,68.8,17,4.2,18,25.48,38.85,16196,52437,3
Ballico-Cressey Elementary (Merced),Merced,Elementary School District,372,62.6,67.21,30.9,N/A,19.7,1,6,28.46,44.19,24233,57363,3
Pope Valley Union Elementary (Napa),Napa,Elementary School District,50,66,74,30,N/A,10.4,0,9.1,31.25,31.25,33129,76081,3
El Centro Elementary (Imperial),Imperial,Elementary School District,5746,80.9,86.24,44.7,N/A,410.4,1.6,8.6,32.61,44.59,12937,91069,3
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,15819,51.2,52.53,6.2,96.5,19.8,0.4,17.5,36.43,53.53,14260,76081,3
Green Point Elementary (Humboldt),Humboldt,Elementary School District,19,88.9,88.89,N/A,N/A,10.6,0,5,37.2,48.3,16040,76081,3
Kashia Elementary (Sonoma),Sonoma,Elementary School District,15,93.3,100,6.7,N/A,15,0,63.2,37.2,48.3,31956,54472,3
Laguna Joint Elementary (Marin),Marin,Elementary School District,14,71.4,78.57,78.6,N/A,0,0,21.4,37.2,48.3,22093,76081,3
Little Shasta Elementary (Siskiyou),Siskiyou,Elementary School District,21,76.2,76.19,N/A,N/A,21,0,9.1,37.2,48.3,17351,45620,3
Maple Creek Elementary (Humboldt),Humboldt,Elementary School District,4,50,50,N/A,N/A,2.4,redacted,redacted,37.2,48.3,69894,76081,3
SBC - High Tech High (San Diego),San Diego,Statewide Benefit Charter,2529,53.8,56.27,14.2,N/A,19,4,7.1,37.2,48.3,14708,76081,3
Burnt Ranch Elementary (Trinity),Trinity,Elementary School District,84,77.4,77.38,N/A,N/A,12.7,0,3.4,41.82,58.18,15602,76081,3
Raymond-Knowles Union Elementary (Madera),Madera,Elementary School District,81,67.9,69.14,4.9,N/A,13.5,5.7,8,45.1,56.86,13714,76081,3
Nuestro Elementary (Sutter),Sutter,Elementary School District,733,40.3,40.71,2.6,N/A,25.4,0,1.7,47.62,60.95,9014,76081,3
Lagunita Elementary (Monterey),Monterey,Elementary School District,101,15.8,17.82,3,N/A,20.2,1,1,47.69,67.69,10378,52879,3
San Marcos Unified (San Diego),San Diego,Unified School District,21122,35.2,39.82,14.5,94.3,487.8,1.5,7.5,52.61,66.76,11293,80122,3
Howell Mountain Elementary (Napa),Napa,Elementary School District,81,53.1,61.73,34.6,N/A,13.5,0,13.6,61.7,47.92,20187,76383,3
Lake County Office of Education (Lake),Lake,County Office of Education (COE),36,94.4,94.44,2.8,84.5,9,31.6,61.5,0,0,14708,62484,2
SBE - Prepa Tec Los Angeles High (Los Angeles),Los Angeles,State Board of Education Charter,288,82.6,88.89,27.4,N/A,38.4,1.5,0,3.26,24.47,14708,76081,2
SBE - OnePurpose (San Francisco),San Francisco,State Board of Education Charter,149,74.5,79.19,26.8,N/A,21.3,6.6,44.7,6.25,9.38,14708,76081,2
SBE - Olive Grove Charter - Orcutt/Santa Maria (Santa Barbara),Santa Barbara,State Board of Education Charter,408,68.1,70.59,6.6,N/A,33.4,0,13.1,6.48,29.36,14708,76081,2
SBE - Olive Grove Charter - Lompoc (Santa Barbara),Santa Barbara,State Board of Education Charter,234,73.5,78.63,7.3,N/A,27.2,0,27.2,8.33,35.38,14708,76081,2
SBE - Grossmont Secondary (San Diego),San Diego,State Board of Education Charter,300,68.3,69.67,12.3,N/A,33.3,0,36.7,9.52,55.95,14708,76081,2
Raisin City Elementary (Fresno),Fresno,Elementary School District,719,81.2,84.52,36.6,N/A,6.9,0,18.5,10.67,15.34,14855,76081,2
Westside Elementary (Fresno),Fresno,Elementary School District,2712,59.1,59.94,9.2,N/A,26.9,0.1,13.2,11.02,22.22,18267,76081,2
SBE - Olive Grove Charter (Santa Barbara),Santa Barbara,State Board of Education Charter,27,44.4,55.56,14.8,N/A,3.6,0,13.8,12.5,37.5,14708,76081,2
SBE - Olive Grove Charter - Buellton (Santa Barbara),Santa Barbara,State Board of Education Charter,166,26.5,27.71,1.2,N/A,11.6,0,11.9,13.64,48.89,14708,76081,2
SBE - Sweetwater Secondary (San Diego),San Diego,State Board of Education Charter,230,72.2,74.78,18.3,N/A,28.8,0.2,26.5,16.28,48.24,14708,76081,2
SBE - Thrive Public (San Diego),San Diego,State Board of Education Charter,966,59.9,62.58,20.5,N/A,15.2,3.9,18.9,17.25,30.28,14708,76081,2
SBE - Olive Grove Charter - Santa Barbara (Santa Barbara),Santa Barbara,State Board of Education Charter,360,46.1,47.78,2.8,N/A,15.9,0,15,19.61,40.38,14708,76081,2
Twin Ridges Elementary (Nevada),Nevada,Elementary School District,97,92.8,92.78,4.1,N/A,12.1,4.3,36.1,20.97,43.75,19517,76081,2
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,786,55.7,57.02,9.4,84.5,10.5,5.2,12.5,22.81,34.82,18550,63848,2
SBE - Vista Springs Charter (San Diego),San Diego,State Board of Education Charter,312,70.5,71.79,8.3,N/A,40,0,18.2,26.15,46.15,14708,76081,2
Trona Joint Unified (San Bernardino),San Bernardino,Unified School District,2746,50.9,52.68,5.1,65.2,12.1,12.5,28.7,27.07,39.58,28011,76081,2
