District,County,District_type,Enrollment,FRL_Perc,Disadv_Perc,EL_Perc,Grad_Perc,Teach_to_stud,Susp_Perc,Chronic_absent,Math_metAbove,ELA_metAbove,Per_pupil_exp,Teacher_salary,Avg Years Teaching (District)
Ceres Unified (Stanislaus),Stanislaus,Unified School District,14848,80.2,83.53,30.8,86.8,22,6.2,10.9,24.47,37.98,12215,82555,10
Newman-Crows Landing Unified (Stanislaus),Stanislaus,Unified School District,3225,63.7,70.75,30.7,95.6,20.9,6.6,5.8,24.77,40.07,12836,73122,10
Wasco Union High (Kern),Kern,High School District,1867,76.5,78.74,15.7,88.7,21.2,0.7,17.1,25.44,51.75,12232,75513,10
Waterford Unified (Stanislaus),Stanislaus,Unified School District,3403,66.1,67.38,16.9,88,19.2,3.7,6.1,25.97,47.34,12984,79693,10
Los Banos Unified (Merced),Merced,Unified School District,11075,75.7,79.6,28.9,95.1,24.7,6.4,13.9,25.98,38.75,11821,84937,10
Santa Maria-Bonita (Santa Barbara),Santa Barbara,Elementary School District,16940,88.6,92.31,49,N/A,23.5,3.2,5.8,26.22,34.15,13139,84340,10
Salinas City Elementary (Monterey),Monterey,Elementary School District,8689,81.2,86.04,51.2,N/A,23.3,3.2,9.5,26.35,32.2,12031,73054,10
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,303,88.8,89.44,22.8,79.2,16.9,1.5,20.1,26.62,33.09,14914,76081,10
Richland Union Elementary (Kern),Kern,Elementary School District,3469,83,86.59,36.1,N/A,18,0,7.9,26.79,34.07,13498,74644,10
Riverbank Unified (Stanislaus),Stanislaus,Unified School District,3016,78.3,83.12,41.2,94.4,19.6,6.3,11.6,27.14,38.95,15409,75761,10
Fortuna Union High (Humboldt),Humboldt,High School District,1107,48.9,50.32,5.2,89,21.2,12.9,21.2,27.15,52,13307,65111,10
Buttonwillow Union Elementary (Kern),Kern,Elementary School District,326,92.6,94.48,63.2,N/A,14.8,1.9,2.5,27.43,23.73,14789,65448,10
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1249,45.9,46.39,1,95.1,22.8,6.7,14,27.66,44.07,12028,63221,10
Taft City (Kern),Kern,Elementary School District,2341,82.5,84.4,31.4,N/A,21.3,4.6,8.9,27.85,39.28,11057,69273,10
Val Verde Unified (Riverside),Riverside,Unified School District,20141,82,83.73,19.7,94.5,23,4.8,10.7,27.97,43.99,12157,88491,10
Edison Elementary (Kern),Kern,Elementary School District,1052,91.3,91.98,19.1,N/A,18.5,1.3,12.6,28.13,34.08,13131,64172,10
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,490,83.1,86.21,39.4,89.4,14.1,3.7,21.7,28.57,47.62,17472,55948,10
San Leandro Unified (Alameda),Alameda,Unified School District,8926,61.9,68.22,29.7,89,21.3,5.2,15.3,28.71,42.13,12590,91590,10
Lindsay Unified (Tulare),Tulare,Unified School District,4121,88.1,92.53,41.2,90.5,21.7,2,8.4,28.95,46.66,17223,79644,10
Pacific Union Elementary (Humboldt),Humboldt,Elementary School District,610,53.3,54.1,9.7,N/A,19.1,2.3,11.8,29.37,37.22,10980,64250,10
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,6166,42.8,48.14,18.6,90.5,19.7,5,12.3,30.22,45.62,12849,63905,10
Exeter Unified (Tulare),Tulare,Unified School District,2730,67.4,68.39,14.7,92.4,21.9,5.8,8.5,30.43,44.06,12341,74322,10
San Ysidro Elementary (San Diego),San Diego,Elementary School District,4578,76.4,86.69,62,N/A,19.3,3.6,10.1,31.45,40.55,14670,86430,10
Tehachapi Unified (Kern),Kern,Unified School District,4307,43.7,44.81,6.7,91.1,22.1,3.6,12.5,31.49,46.63,10758,68248,10
Plumas Unified (Plumas),Plumas,Unified School District,2187,50.6,52.06,3.7,85.2,17,5.2,22.4,31.78,43.55,15873,57358,10
Washington Unified (Yolo),Yolo,Unified School District,8322,65.8,68.4,18.2,88.2,20.2,3.8,12.1,32.22,45.45,12475,72656,10
Pierce Joint Unified (Colusa),Colusa,Unified School District,1479,70.7,73.9,33.4,92.6,20.7,4.5,5.4,32.36,41.66,10673,72311,10
Dixon Unified (Solano),Solano,Unified School District,3626,54.2,56.71,19,82.5,19.7,6.7,11.2,32.55,40.2,12043,67529,10
Eastern Sierra Unified (Mono),Mono,Unified School District,403,46.4,51.61,23.8,88,11.6,3.3,9.5,32.84,54.46,26631,70181,10
Los Angeles County Office of Education (Los Angeles),Los Angeles,County Office of Education (COE),8699,70.9,76.79,17.8,47.6,10.6,11.5,17.5,33.12,50,14708,76081,10
Susanville Elementary (Lassen),Lassen,Elementary School District,1122,56.1,57.75,5.2,N/A,20.3,5.7,17.7,33.58,31.7,10079,61399,10
Caruthers Unified (Fresno),Fresno,Unified School District,1508,89,89.83,30.2,92.5,19.5,4.3,9.8,33.73,41.57,12483,71055,10
McKinleyville Union Elementary (Humboldt),Humboldt,Elementary School District,1123,60.1,60.82,4.8,N/A,21.8,4.4,16.8,33.8,41.53,11537,76081,10
Bishop Unified (Inyo),Inyo,Unified School District,1978,52.5,53.82,8.5,82.7,20,7.1,15.6,33.97,40.85,11831,75139,10
Pine Ridge Elementary (Fresno),Fresno,Elementary School District,103,26.2,26.21,N/A,N/A,17.2,0,12.7,34.48,60.34,22943,70661,10
Soulsbyville Elementary (Tuolumne),Tuolumne,Elementary School District,539,40.9,40.86,1.7,N/A,18.6,2.9,6.2,34.57,47.29,9694,62992,10
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1440,54,57.43,21.1,88.9,17.9,5.8,11.5,34.82,47.92,16819,70503,10
Jefferson Union High (San Mateo),San Mateo,High School District,4786,29.3,36,13,88.6,20.9,5.2,15.3,35.03,56.12,13383,70369,10
San Rafael City High (Marin),Marin,High School District,2640,51.3,52.95,18.7,81.5,22.2,5.1,15.8,35.33,52.25,14953,100514,10
Salida Union Elementary (Stanislaus),Stanislaus,Elementary School District,3310,61.1,65.12,23,N/A,20.8,3.3,7.8,35.41,47,12243,86885,10
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2992,47.8,49.73,15.7,92.6,21.8,5.7,6.1,35.97,48.23,10436,73832,10
Franklin-McKinley Elementary (Santa Clara),Santa Clara,Elementary School District,10275,73.8,81.7,43.7,N/A,23.4,1.9,8.4,36.35,44.5,13783,92056,10
Liberty Union High (Contra Costa),Contra Costa,High School District,8320,28.2,30.42,5.5,91.9,22.4,4.2,15.9,36.5,69.3,11720,81924,10
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,407,44.5,45.95,3.7,100,16.4,0,3.4,36.76,43.69,15341,61814,10
Palo Verde Union Elementary (Tulare),Tulare,Elementary School District,594,90.9,93.1,42.3,N/A,25.8,3.7,8.1,36.94,38.73,10892,75751,10
Panama-Buena Vista Union (Kern),Kern,Elementary School District,18621,68.8,71.23,16.9,N/A,22.6,3.2,7.4,37.34,52.33,11359,76003,10
Wright Elementary (Sonoma),Sonoma,Elementary School District,1480,68.7,76.73,43.6,N/A,23.1,1.9,8.4,37.37,54.62,14313,71841,10
San Rafael City Elementary (Marin),Marin,Elementary School District,4614,60.4,67.56,46.4,N/A,20.2,1.8,5.8,38.01,43.62,12861,85468,10
Mt. Shasta Union Elementary (Siskiyou),Siskiyou,Elementary School District,558,46.6,46.77,1.6,N/A,17.9,2.8,15.1,38.04,47.13,11476,67312,10
Richfield Elementary (Tehama),Tehama,Elementary School District,252,55.6,61.11,21.8,N/A,22.3,1.4,4,38.46,46.51,9191,64999,10
Mariposa County Unified (Mariposa),Mariposa,Unified School District,1838,65.5,65.96,4.8,94.4,18.1,4.7,17.6,38.65,47.03,13384,62676,10
Redding Elementary (Shasta),Shasta,Elementary School District,3233,65,65.72,3.2,N/A,21.2,4.4,12.6,38.97,45.28,12449,68293,10
Mission Union Elementary (Monterey),Monterey,Elementary School District,131,23.7,34.35,17.6,N/A,16.4,0,3.8,40.24,47.56,11847,62869,10
Lemoore Union Elementary (Kings),Kings,Elementary School District,3308,67.4,69.38,15.4,N/A,20.8,2.7,6.2,40.28,49.22,10980,73309,10
